Category,Direction,Verdicts,Review Reason,cve_id,description,cpe_strings,Difference Type,published,cvss_score,cvss_version,cwe_ids,Claude Judgment,Claude Confidence,Claude Reasoning,Codex Judgment,Codex Confidence,Codex Reasoning,Gemini Judgment,Gemini Confidence,Gemini Reasoning,Human Verdict 1,Human Notes 1,Human Verdict 2,Human Notes 2,Disagreement
cameras,vendor_only,C:No/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2024-56903,"Geovision GV-ASWeb with the version 6.1.1.0 or less allows attackers to modify POST request method with the GET against critical functionalities, such as account management. This vulnerability is used in chain with CVE-2024-56901 for a successful CSRF attack.",,vendor_only,2025-02-03,8.1,3.1,CWE-352,No,Low,No CPE and no camera signal in the description; cannot tie this to a home camera.,No,High,,Yes,High,,Yes,,No,,Partner=Yes vs Suhani=No
cameras,vendor_only,C:No/High  X:Yes/High  G:Yes/High,judgments not unanimous,CVE-2025-39475,Path Traversal: '.../...//' vulnerability in Frenify Arlo arlo allows PHP Local File Inclusion.This issue affects Arlo: from n/a through <= 6.0.3.,,vendor_only,2025-06-09,8.1,3.1,CWE-35,No,High,"""Frenify Arlo"" here is a third-party PHP plugin/theme named ""Arlo"" (a WordPress add-on), not the Arlo brand's actual camera firmware — no CPE is available to confirm otherwise, and the vulnerability (PHP Local File Inclusion in a web plugin) is consistent with generic web-CMS software, not embedded camera hardware.",Yes,High,,Yes,High,,Yes,,No,Frenify Arlo is a third-party WordPress PHP plugin/theme — not Arlo camera firmware; web CMS software out of scope for cameras.,Partner=Yes vs Suhani=No
cameras,vendor_only,C:Yes/Low  X:Maybe/Low  G:No/High,both strong reviewers low confidence; judgments not unanimous,CVE-2025-55192,"HomeAssistant-Tapo-Control offers Control for Tapo cameras as a Home Assistant component. Prior to commit 2a3b80f, there is a code injection vulnerability in the GitHub Actions workflow .github/workflows/issues.yml. It does not affect users of the Home Assistant integration itself — it only impacts the GitHub Actions environment for this repository. The vulnerable workflow directly inserted user-controlled content from the issue body (github.event.issue.body) into a Bash conditional without proper sanitization. A malicious GitHub user could craft an issue body that executes arbitrary commands on the GitHub Actions runner in a privileged context whenever an issue is opened. The potential impact is limited to the repository’s CI/CD environment, which could allow access to repository contents or GitHub Actions secrets. This issue has been patched via commit 2a3b80f. Workarounds involve disabling the affected workflow (issues.yml), replacing the unsafe Bash comparison with a safe quoted grep (or a pure GitHub Actions expression check), or ensuring minimal permissions in workflows (permissions: block) to reduce possible impact.",,vendor_only,2025-08-14,,,CWE-94,Yes,Low,"No CPE present (common for recent CVEs), but the description names a home/consumer camera and a residential network attack vector.",Maybe,Low,"Description references security camera context, but the affected product type is unclear.",No,High,,Yes,,No,,Partner=Yes vs Suhani=No
cameras,vendor_only,C:No/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2025-10991,"The attacker may obtain root access by connecting to the UART port and this vulnerability requires the attacker to have the physical access to the device.

This issue affects Tapo D230S1 V1.20: before 1.2.2 Build 20250907.",,vendor_only,2025-09-30,,,CWE-306,No,Low,No CPE and no camera signal in the description; cannot tie this to a home camera.,No,High,,Yes,High,,Yes,,No,,Partner=Yes vs Suhani=No
cameras,vendor_only,C:No/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2018-25118,"GeoVision embedded IP devices, confirmed on GV-BX1500 and GV-MFD1501, contain a remote command injection vulnerability via /PictureCatch.cgi that enables an attacker to execute arbitrary commands on the device. The vulnerable models have been declared end-of-life (EOL) by the vendor. VulnCheck has observed this vulnerability being exploited in the wild as of 2025-10-19 08:55:13.141502 UTC.",,vendor_only,2025-10-20,,,CWE-78,No,Low,No CPE and no camera signal in the description; cannot tie this to a home camera.,No,High,,Yes,High,,Yes,,No,,Partner=Yes vs Suhani=No
cameras,vendor_only,C:Maybe/Low  X:Maybe/Low  G:No/Low,both strong reviewers low confidence; judgments not unanimous,CVE-2025-12463,An unauthenticated SQL Injection was discovered within the Geutebruck G-Cam E-Series Cameras through the `Group` parameter in the `/uapi-cgi/viewer/Param.cgi` script. This has been confirmed on the EFD-2130 camera running firmware version 1.12.0.19.,,vendor_only,2025-11-03,9.8,3.1,CWE-89,Maybe,Low,No CPE present and the description references a camera but does not establish home vs commercial deployment.,Maybe,Low,"Description references security camera context, but the affected product type is unclear.",No,Low,Geutebruck G-Cam E-Series cameras are typically professional/enterprise-grade surveillance systems rather than consumer home IoT devices.,Maybe,,No,,Partner=Maybe vs Suhani=No
cameras,vendor_only,C:Yes/High  X:Maybe/Low  G:Yes/High,judgments not unanimous,CVE-2025-14553,"Exposure of password hashes through an unauthenticated API response in TP-Link Tapo app on iOS and Android for Tapo cameras, allowing attackers to brute force the password in the local network. Issue can be mitigated through mobile application updates. Device firmware remains unchanged.",,vendor_only,2025-12-16,,,CWE-200,Yes,High,"The Tapo mobile app is the vendor-supplied control/provisioning interface for the Tapo camera line — app-device integration is part of what makes this an IoT product, not a reason to exclude it. The exposed password hash lets a local-network attacker brute-force credentials for the actual camera, so this is an in-scope attack on the device via its companion app, even though the fix ships in the app rather than firmware.",Maybe,Low,"Description references security camera context, but the affected product type is unclear.",Yes,High,,Yes,,No,Phone/watch/wearable sensor — not a standalone home IoT sensor.,Partner=Yes vs Suhani=No
cameras,vendor_only,C:No/High  X:Yes/High  G:Yes/High,judgments not unanimous,CVE-2025-69082,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting') vulnerability in Frenify Arlo arlo allows Reflected XSS.This issue affects Arlo: from n/a through <= 6.0.3.,,vendor_only,2026-01-07,7.1,3.1,CWE-79,No,High,"Same ""Frenify Arlo"" naming collision as the related path-traversal CVE in this set: this is a third-party web plugin/theme called ""Arlo,"" not the Arlo camera brand's firmware, so the reflected-XSS bug is in unrelated web software rather than a home camera device.",Yes,High,,Yes,High,,Yes,,No,Frenify Arlo is a third-party WordPress plugin/theme named Arlo — not the Arlo camera brand; web software out of scope for cameras.,Partner=Yes vs Suhani=No
cameras,vendor_only,C:No/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2021-47795,"GeoVision GeoWebServer 5.3.3 contains multiple vulnerabilities including local file inclusion, cross-site scripting, and remote code execution through improper input sanitization. Attackers can exploit the WebStrings.srf endpoint by manipulating path traversal and injection parameters to access system files and execute malicious scripts.",,vendor_only,2026-01-16,6.2,3.1,CWE-22,No,Low,No CPE and no camera signal in the description; cannot tie this to a home camera.,No,High,,Yes,High,,Yes,,No,,Partner=Yes vs Suhani=No
cameras,vendor_only,C:Maybe/Low  X:Maybe/Low  G:No/Low,both strong reviewers low confidence; judgments not unanimous,CVE-2026-1241,"The Pelco, Inc. Sarix Professional 3 Series Cameras are vulnerable to an authentication bypass issue in their web management interface. The flaw stems from inadequate enforcement of access controls, allowing certain functionality to be accessed without proper authentication. This weakness can lead to unauthorized viewing of live video streams, creating privacy concerns and operational risks for organizations relying on these cameras. Additionally, it may expose operators to regulatory and compliance challenges.",,vendor_only,2026-02-26,,,CWE-288,Maybe,Low,No CPE present and the description references a camera but does not establish home vs commercial deployment.,Maybe,Low,"Description references security camera context, but the affected product type is unclear.",No,Low,"The description explicitly mentions 'organizations relying on these cameras' and 'regulatory and compliance challenges', which strongly suggests these are professional/enterprise-grade cameras rather than home IoT devices.",Maybe,,No,,Partner=Maybe vs Suhani=No
cameras,vendor_only,C:No/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2024-51346,An issue in Eufy Homebase 2 version 3.3.4.1h allows a local attacker to obtain sensitive information via the cryptographic scheme.,,vendor_only,2026-03-25,7.7,3.1,CWE-330,No,Low,No CPE and no camera signal in the description; cannot tie this to a home camera.,No,High,,Yes,High,,Yes,,No,,Partner=Yes vs Suhani=No
cameras,vendor_only,C:No/Low  X:Yes/High  G:Yes/High,judgments not unanimous,CVE-2026-38740,"Foscam VD1 Video Doorbell before V5.3.13_1072 is vulnerable to Cleartext Transmission of Sensitive Information. The device transmits sensitive Session Description Protocol (SDP), including ICE credentials and candidates, in cleartext over network interfaces. An attacker with network visibility can intercept these credentials to hijack media streams or authenticate to Foscam's TURN/relay infrastructure to forward arbitrary traffic at the vendor's expense.",,vendor_only,2026-05-14,5.3,3.1,CWE-319,No,Low,"Foscam VD1 Video Doorbell is a doorbell device; the doorbell category covers this product class, not the cameras category",Yes,High,,Yes,High,,Yes,,No,Suhani rule: Video doorbell in wrong category.,Partner=Yes vs Suhani=No
cameras,keyword_only,C:No/High  X:Yes/High  G:Yes/High,judgments not unanimous,CVE-2000-1170,Buffer overflow in Netsnap webcam HTTP server before 1.2.9 allows remote attackers to execute arbitrary commands via a long GET request.,cpe:2.3:a:pelesoft:netsnap:1.2:*:*:*:*:*:*:*,keyword_only,2001-01-09,7.5,2.0,,No,High,"Netsnap is a webcam HTTP server application that ran on a general-purpose PC alongside an attached USB webcam — it's PC server software, not an embedded home-camera appliance, so it fails the device-class criterion for this category.",Yes,High,,Yes,High,,Yes,,No,"Suhani rule: PC webcam server software on a computer, not home security camera control.",Partner=Yes vs Suhani=No
cameras,keyword_only,C:No/High  X:Yes/High  G:Yes/High,judgments not unanimous,CVE-2004-1784,Buffer overflow in the web server of Webcam Watchdog 3.63 allows remote attackers to execute arbitrary code via a long HTTP GET request.,cpe:2.3:a:webcam_corp:webcam_watchdog:1.0:*:*:*:*:*:*:*|cpe:2.3:a:webcam_corp:webcam_watchdog:1.1:*:*:*:*:*:*:*|cpe:2.3:a:webcam_corp:webcam_watchdog:3.63:*:*:*:*:*:*:*,keyword_only,2004-01-03,7.5,2.0,,No,High,"Webcam Watchdog is desktop PC webcam-monitoring software (general-purpose computer application), not a standalone embedded home camera device.",Yes,High,,Yes,High,,Yes,,No,"Suhani rule: PC webcam server software on a computer, not home security camera control.",Partner=Yes vs Suhani=No
cameras,keyword_only,C:No/High  X:Yes/High  G:Yes/High,judgments not unanimous,CVE-2005-1617,"Willings WebCam and WebCam Lite 2.8 and earlier stores the password in memory in plaintext, which allows local users to gain sensitive information.",cpe:2.3:a:willings:webcam:*:*:*:*:*:*:*:*|cpe:2.3:a:willings:webcam_lite:*:*:*:*:*:*:*:*,keyword_only,2005-05-16,2.1,2.0,,No,High,"Willings WebCam/WebCam Lite is PC-based webcam server software from the early 2000s, running on a general-purpose computer rather than as embedded camera-appliance firmware.",Yes,High,,Yes,High,,Yes,,No,"Suhani rule: PC webcam server software on a computer, not home security camera control.",Partner=Yes vs Suhani=No
cameras,keyword_only,C:No/High  X:Yes/High  G:Yes/High,judgments not unanimous,CVE-2010-2505,"Soft SaschArt SasCAM Webcam Server 2.6.5, 2.7, and earlier allows remote attackers to cause a denial of service (crash) via a large number of requests with a long line, as demonstrated using a long GET request.",cpe:2.3:a:saschart:sascam_webcam_server:*:*:*:*:*:*:*:*|cpe:2.3:a:saschart:sascam_webcam_server:2.6.5:*:*:*:*:*:*:*,keyword_only,2010-06-28,5.0,2.0,CWE-20,No,High,"SasCAM Webcam Server is PC webcam-server software (general-purpose computer application wrapping a generic USB webcam), not a dedicated embedded home camera device.",Yes,High,,Yes,High,,Yes,,No,"Suhani rule: PC webcam server software on a computer, not home security camera control.",Partner=Yes vs Suhani=No
cameras,keyword_only,C:No/High  X:Yes/High  G:Yes/High,judgments not unanimous,CVE-2000-0043,Buffer overflow in CamShot WebCam HTTP server allows remote attackers to execute commands via a long GET request.,cpe:2.3:a:camshot:webcam_http_server:2.5:*:*:*:*:*:*:*,keyword_only,1999-12-30,7.5,2.0,,No,High,"CamShot WebCam HTTP server is PC-hosted webcam server software from a general-purpose computer, not embedded home-camera firmware.",Yes,High,,Yes,High,,Yes,,No,"Suhani rule: PC webcam server software on a computer, not home security camera control.",Partner=Yes vs Suhani=No
cameras,keyword_only,C:No/High  X:Maybe/Low  G:Yes/High,judgments not unanimous,CVE-2020-29000,"An issue was discovered on Geeni GNC-CW013 doorbell 1.8.1 devices. A vulnerability exists in the RTSP service that allows a remote attacker to take full control of the device with a high-privileged account. By sending a crafted message, an attacker is able to remotely deliver a telnet session. Any attacker that has the ability to control DNS can exploit this vulnerability to remotely login to the device and gain access to the camera system.",cpe:2.3:o:mygeeni:gnc-cw013_firmware:1.8.1:*:*:*:*:*:*:*|cpe:2.3:h:mygeeni:gnc-cw013:-:*:*:*:*:*:*:*,keyword_only,2021-01-26,7.2,3.1,,No,High,"The Geeni GNC-CW013 is a video doorbell, not a general security camera; doorbell has its own analysis category in this project's scope, so this CVE belongs there rather than under cameras, even though it otherwise clearly qualifies as home IoT.",Maybe,Low,Hardware CPE suggests surveillance gear; unclear if this is a consumer home camera.,Yes,High,,Yes,,No,"Suhani rule: Geeni video doorbell — wrong category (belongs in doorbell, not cameras).",Partner=Yes vs Suhani=No
cameras,keyword_only,C:No/Low  X:Maybe/Low  G:Yes/High,both strong reviewers low confidence; judgments not unanimous,CVE-2025-41016,"Inadequate access control vulnerability in Davantis DFUSION v6.177.7, which allows unauthorised actors to extract images and videos related to alarm events through access to “/alarms/<ALARM_ID>/<MEDIA>”, where the “MEDIA” parameter can take the value of “snapshot” or “video.mp4”. These media files contain images recorded by security cameras in response to triggered alerts.",,keyword_only,2025-11-24,,,CWE-862,No,Low,Davantis DFUSION is a commercial AI video analytics platform for enterprise and public safety deployments,Maybe,Low,"Description references security camera context, but the affected product type is unclear.",Yes,High,,Yes,,No,"Suhani rule: Davantis DFUSION is commercial video analytics, not homeowner camera control.",Partner=Yes vs Suhani=No
cameras,keyword_only,C:No/Low  X:Yes/High  G:Yes/High,judgments not unanimous,CVE-2025-41017,"Inadequate access control vulnerability in Davantis DDFUSION v6.177.7, which allows unauthorised actors to retrieve perspective parameters from security camera settings by accessing “/cameras/<CAMERA_ID>/perspective”.",,keyword_only,2025-11-24,,,CWE-862,No,Low,Davantis DDFUSION is a commercial AI video analytics platform for enterprise and public safety deployments,Yes,High,,Yes,High,,Yes,,No,"Suhani rule: Davantis DFUSION is commercial video analytics, not homeowner camera control.",Partner=Yes vs Suhani=No
cameras,keyword_only,C:No/High  X:Maybe/Low  G:Yes/High,judgments not unanimous,CVE-2026-20759,"OS Command Injection vulnerability exists in multiple Network Cameras TRIFORA 3 series provided by TOA Corporation, which may allow a logged-in user with the low(""monitoring user"") or higher privilege to execute an arbitrary OS command.",,keyword_only,2026-01-16,8.8,3.0,CWE-78,No,High,"TOA Corporation's TRIFORA line are professional/commercial network cameras (TOA is primarily a commercial PA/AV systems vendor) sold for business and institutional surveillance installations with dedicated administration, not consumer home cameras.",Maybe,Low,"Description references security camera context, but the affected product type is unclear.",Yes,High,,Yes,,No,"Suhani rule: TOA TRIFORA are commercial/professional network cameras, not consumer home IoT.",Partner=Yes vs Suhani=No
cameras,keyword_only,C:No/High  X:Maybe/Low  G:Yes/High,judgments not unanimous,CVE-2026-20894,"Cross-site scripting vulnerability exists in multiple Network Cameras TRIFORA 3 series provided by TOA Corporation. If an attacking administrator configures the affected product with some malicious input, an arbitrary script may be executed on the web browser of a victim administrator who accesses the setting screen.",,keyword_only,2026-01-16,4.8,3.0,CWE-79,No,High,"Same TOA TRIFORA commercial/professional network camera line as the related path-traversal and command-injection CVEs in this set — business surveillance hardware, not a consumer home camera product.",Maybe,Low,"Description references security camera context, but the affected product type is unclear.",Yes,High,,Yes,,No,"Suhani rule: TOA TRIFORA are commercial/professional network cameras, not consumer home IoT.",Partner=Yes vs Suhani=No
cameras,keyword_only,C:No/High  X:Maybe/Low  G:Yes/High,judgments not unanimous,CVE-2026-22876,"Path Traversal vulnerability exists in multiple Network Cameras TRIFORA 3 series provided by TOA Corporation. If this vulnerability is exploited, arbitrary files on the affected product may be retrieved by a logged-in user with the low(""monitoring user"") or higher privilege.",,keyword_only,2026-01-16,6.5,3.0,CWE-22,No,High,"Same TOA TRIFORA commercial/professional network camera line as the related CVEs in this set — marketed to institutional/business surveillance deployments, not consumer homes.",Maybe,Low,"Description references security camera context, but the affected product type is unclear.",Yes,High,,Yes,,No,"Suhani rule: TOA TRIFORA are commercial/professional network cameras, not consumer home IoT.",Partner=Yes vs Suhani=No
cameras,keyword_only,C:No/High  X:Maybe/Low  G:Yes/High,judgments not unanimous,CVE-2008-6898,Buffer overflow in the XHTTP Module 4.1.0.0 in the ActiveX control for SaschArt SasCam Webcam Server 2.6.5 allows remote attackers to cause a denial of service (crash) or execute arbitrary code via a long argument to the Get method and other unspecified methods.,cpe:2.3:a:saschart:sascam_webcam_server:2.6.5:*:*:*:*:*:*:*,keyword_only,2009-08-05,9.3,2.0,CWE-119,No,High,"SasCam Webcam Server's ActiveX control runs on a general-purpose PC managing a generic USB webcam — PC software, not an embedded home camera appliance.",Maybe,Low,"Description mentions security camera-related terms, but the affected product appears to be general software/IT rather than the device itself.",Yes,High,,Yes,,No,"Suhani rule: PC webcam server, not home security camera control software",Partner=Yes vs Suhani=No
doorbell,vendor_only,C:Yes/Low  X:No/High  G:No/High,judgments not unanimous,CVE-2019-12326,"Missing file and path validation in the ringtone upload function of the Akuvox R50P VoIP phone 50.0.6.156 allows an attacker to upload a manipulated ringtone file, with an executable payload (shell commands within the file) and trigger code execution.",cpe:2.3:o:akuvox:sp-r50p_firmware:50.0.6.156:*:*:*:*:*:*:*|cpe:2.3:h:akuvox:sp-r50p:-:*:*:*:*:*:*:*,vendor_only,2019-07-22,9.8,3.0,CWE-434,Yes,Low,"Akuvox SP-R50P is an IP video door phone/intercom; while primarily used in multi-unit residential buildings, single-family home deployments are common and the device functions as a video doorbell/entry intercom",No,High,,No,High,,Yes,,No,"Akuvox SP-R50P is a business VoIP desk phone, not a door phone or video doorbell.",Partner=Yes vs Suhani=No
doorbell,vendor_only,C:Maybe/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2017-16778,"An access control weakness in the DTMF tone receiver of Fermax Outdoor Panel allows physical attackers to inject a Dual-Tone-Multi-Frequency (DTMF) tone to invoke an access grant that would allow physical access to a restricted floor/level. By design, only a residential unit owner may allow such an access grant. However, due to incorrect access control, an attacker could inject it via the speaker unit to perform an access grant to gain unauthorized access, as demonstrated by a loud DTMF tone representing '1' and a long '#' (697 Hz and 1209 Hz, followed by 941 Hz and 1477 Hz).",cpe:2.3:o:fermax:outdoor_panel_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:fermax:outdoor_panel:-:*:*:*:*:*:*:*,vendor_only,2019-12-24,4.6,3.1,CWE-863,Maybe,Low,"Fermax outdoor door-entry/intercom panel that grants building floor access; residential apartment context but a multi-tenant building entry system rather than a single-home video doorbell, so category fit is uncertain.",No,High,,Yes,High,,No,,Maybe,,Partner=No vs Suhani=Maybe
doorbell,vendor_only,C:Maybe/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2022-40903,"Aiphone GT-DMB-N 3-in-1 Video Entrance Station with NFC Reader 1.0.3 does not mitigate against repeated failed access attempts, which allows an attacker to gain administrative privileges.",cpe:2.3:o:aiphone:gt-dmb-n_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:aiphone:gt-dmb-n:-:*:*:*:*:*:*:*|cpe:2.3:o:aiphone:gt-dmb_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:aiphone:gt-dmb:-:*:*:*:*:*:*:*|cpe:2.3:o:aiphone:gt-dmb-lvn_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:aiphone:gt-dmb-lvn:-:*:*:*:*:*:*:*|cpe:2.3:o:aiphone:gt-db-vn_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:aiphone:gt-db-vn:-:*:*:*:*:*:*:*,vendor_only,2022-11-14,6.5,3.1,CWE-307,Maybe,Low,"Aiphone GT-series video entrance station is a door-entry/intercom unit, but the GT line targets multi-tenant apartment/commercial buildings rather than single-family homes, so residential fit is uncertain.",No,High,,Yes,High,,Yes,,Maybe,,Partner=Yes vs Suhani=Maybe
doorbell,vendor_only,C:Yes/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2024-48774,An issue in Fermax Asia Pacific Pte Ltd com.fermax.vida 2.4.6 allows a remote attacker to obtain sensitve information via the firmware update process.,,vendor_only,2024-10-11,7.5,3.1,CWE-306,Yes,Low,"Fermax VIDA is Fermax's own companion app for its door-entry/video-doorbell hardware; a sensitive-information leak during the device's firmware-update process is an attack on the doorbell system via its official app, which counts as in scope.",No,High,,Yes,High,,No,,Maybe,,Partner=No vs Suhani=Maybe
doorbell,vendor_only,C:Yes/Low  X:No/High  G:Yes/Low,judgments not unanimous,CVE-2020-9473,"The S. Siedle & Soehne SG 150-0 Smart Gateway before 1.2.4 has a passwordless ftp ssh user. By using an exploit chain, an attacker with access to the network can get root access on the gateway.",cpe:2.3:o:siedle:sg_150-0_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:siedle:sg_150-0:-:*:*:*:*:*:*:*,vendor_only,2020-04-06,6.6,3.1,CWE-306,Yes,Low,S. Siedle & Soehne produces residential door intercom and video entry systems; the SG 150-0 Smart Gateway is the hub for their door communication products used in homes; also deployed in multi-family/commercial buildings,No,High,,Yes,Low,"Siedle is a well-known manufacturer of door communication systems (intercoms/doorbells). The SG 150-0 is a Smart Gateway used to connect these systems to the network. While gateways can be used in commercial settings, they are standard components for smart home video doorbell/intercom installations.",Yes,,No,Commercial building/access software — out of scope for consumer home IoT.,Partner=Yes vs Suhani=No
doorbell,vendor_only,C:Maybe/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2021-31726,Akuvox C315 115.116.2613 allows remote command Injection via the cfgd_server service. The attack vector is sending a payload to port 189 (default root 0.0.0.0).,cpe:2.3:o:akuvox:c315_firmware:115.116.2613:*:*:*:*:*:*:*|cpe:2.3:h:akuvox:c315:-:*:*:*:*:*:*:*,vendor_only,2021-04-25,9.8,3.1,CWE-77,Maybe,Low,"Akuvox C315 is an indoor monitor in a SIP door-intercom system; door-entry related but it is the indoor answering unit rather than the door/bell unit, and Akuvox lines span residential and commercial deployments.",No,High,,Yes,High,,Yes,,Maybe,,Partner=Yes vs Suhani=Maybe
doorbell,vendor_only,C:Yes/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2019-14453,"An issue was discovered in Comelit ""App lejos de casa (web)"" 2.8.0. It allows privilege escalation via modified domus and logged fields, related to js/bridge.min.js and login.json. For example, an attacker can achieve high privileges (installer or administrator) for the graphical interface via a 1C000000000S value for domus, in conjunction with a zero value for logged.",cpe:2.3:a:comelitgroup:away_from_home:2.8.0:*:*:*:*:*:*:*,vendor_only,2021-08-03,8.8,3.1,CWE-269,Yes,Low,"Comelit's 'away from home' web app is the vendor's own remote-control interface for its door-entry/intercom (doorbell) hardware; the privilege-escalation flaw lets an attacker reach installer/administrator control of that hardware through its own official app, which is in scope.",No,High,,Yes,High,,No,,Maybe,,Partner=No vs Suhani=Maybe
doorbell,vendor_only,C:Maybe/Low  X:No/High  G:No/Low,judgments not unanimous,CVE-2024-31408,OS command injection vulnerability exists in AIPHONE IX SYSTEM and IXG SYSTEM. A network-adjacent authenticated attacker may execute an arbitrary OS command with root privileges by sending a specially crafted request.,,vendor_only,2024-11-22,8.0,3.0,CWE-78,Maybe,Low,"Aiphone IX/IXG is an IP door-intercom system; IXG serves multi-tenant residential buildings and IX targets commercial sites, so it is door-entry but its single-home consumer fit is uncertain.",No,High,,No,Low,"Aiphone IX and IXG systems are typically enterprise-grade IP intercom systems used in commercial buildings or apartment complexes, rather than consumer home video doorbells.",No,,Maybe,,Partner=No vs Suhani=Maybe
doorbell,vendor_only,C:Maybe/Low  X:No/High  G:Yes/Low,judgments not unanimous,CVE-2024-39290,Insufficiently protected credentials issue exists in AIPHONE IX SYSTEM and IXG SYSTEM. A network-adjacent unauthenticated attacker may obtain sensitive information such as a username and its password in the address book.,,vendor_only,2024-11-22,6.5,3.0,CWE-522,Maybe,Low,"Aiphone IX/IXG is an IP door-intercom system; IXG serves multi-tenant residential buildings and IX targets commercial sites, so it is door-entry but its single-home consumer fit is uncertain.",No,High,,Yes,Low,"AIPHONE IX and IXG systems are typically intercom systems, which often include video doorbells/entry systems for residential use, though they can be used in commercial settings. The description mentions an address book, which is consistent with such devices.",Yes,,Maybe,,Partner=Yes vs Suhani=Maybe
doorbell,vendor_only,C:Maybe/Low  X:No/High  G:No/Low,judgments not unanimous,CVE-2024-45837,"Use of hard-coded cryptographic key issue exists in AIPHONE IX SYSTEM, IXG SYSTEM, and System Support Software. A network-adjacent unauthenticated attacker may log in to SFTP service and obtain and/or manipulate unauthorized files.",,vendor_only,2024-11-22,5.4,3.0,CWE-321,Maybe,Low,"Aiphone IX/IXG (and its support software) is an IP door-intercom system spanning multi-tenant residential and commercial sites, so door-entry but uncertain single-home consumer fit.",No,High,,No,Low,"Aiphone IX and IXG systems are typically enterprise-grade IP intercom systems used in commercial buildings or apartment complexes, rather than consumer home video doorbells.",No,,Maybe,,Partner=No vs Suhani=Maybe
doorbell,vendor_only,C:Maybe/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2024-47142,"AIPHONE IXG SYSTEM IXG-2C7 firmware Ver.2.03 and earlier and IXG-2C7-L firmware Ver.2.03 and earlier contain an issue with insufficiently protected credentials, which may allow a network-adjacent authenticated attacker to perform unintended operations.",,vendor_only,2024-11-22,5.5,3.0,CWE-522,Maybe,Low,Aiphone IXG-2C7 is a tenant station in the IXG multi-tenant apartment door-intercom system; residential but a building/multi-dwelling entry system rather than a standalone home doorbell.,No,High,,Yes,High,,Yes,,Maybe,,Partner=Yes vs Suhani=Maybe
doorbell,vendor_only,C:Yes/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2021-47706,COMMAX Biometric Access Control System 1.0.0 contains an authentication bypass vulnerability that allows unauthenticated attackers to access sensitive information and circumvent physical controls in smart homes and buildings by exploiting cookie poisoning. Attackers can forge cookies to bypass authentication and disclose sensitive information.,,vendor_only,2025-12-09,,,CWE-565,Yes,Low,COMMAX makes residential access control and intercom systems; description explicitly mentions smart homes as deployment context; no CPE to confirm product type but the product line is known for home use,No,High,,Yes,High,,Yes,,No,Commercial building/access software — out of scope for consumer home IoT.,Partner=Yes vs Suhani=No
doorbell,vendor_only,C:Yes/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2021-47708,COMMAX Smart Home System CDP-1020n contains an SQL injection vulnerability that allows attackers to bypass authentication by injecting arbitrary SQL code through the 'id' parameter in 'loginstart.asp'. Attackers can exploit this by sending a POST request with malicious 'id' values to manipulate database queries and gain unauthorized access.,,vendor_only,2025-12-09,,,CWE-89,Yes,Low,COMMAX Smart Home System is explicitly named; CDP-1020n appears to be a home intercom management system; no CPE to confirm but COMMAX is known for residential smart home intercom products,No,High,,Yes,High,,Yes,,No,Building access control / smart home control software — not a doorbell; belongs in a different category.,Partner=Yes vs Suhani=No
doorbell,vendor_only,C:Yes/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2021-47709,COMMAX Smart Home System allows an unauthenticated attacker to change configuration and cause denial-of-service through the setconf endpoint. Attackers can trigger a denial-of-service scenario by sending a malformed request to the setconf endpoint.,,vendor_only,2025-12-09,,,CWE-306,Yes,Low,Same COMMAX Smart Home System product; residential intercom/access control context,No,High,,Yes,High,,Yes,,No,Building access control / smart home control software — not a doorbell; belongs in a different category.,Partner=Yes vs Suhani=No
doorbell,vendor_only,C:Yes/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2021-47710,"COMMAX Smart Home System is a smart IoT home solution that allows an unauthenticated attacker to disclose RTSP credentials in plain-text by exploiting the /overview.asp endpoint. Attackers can access sensitive information, including login credentials and DVR settings, by submitting a GET request to this endpoint.",,vendor_only,2025-12-09,,,CWE-306,Yes,Low,Same COMMAX Smart Home System product; RTSP credential disclosure in residential intercom system,No,High,,Yes,High,,Yes,,No,DVR/NVR video recorder — not a doorbell endpoint; wrong category.,Partner=Yes vs Suhani=No
